Token;Label_LM;Label_CF;Label_MB
-;;;
Oui;;;
,;;;
tres;;;
souvent;;;
.;;;
Le;;;
soir;;;
,;;;
on;;;
fait;;;
de;;;
la;;;
musique;;;
.;;;
"
";;;
--;;;
Tiensl;PER;PER;PER
Pierrotte;;;
est;;;
musicien;;;
.;;;
"
";;;
-;;;
Nonl;PER;PER;PER
pas;;;
lui;;;
";";;;
sa;;;
fille;;;
.;;;
"
";;;
-;;;
Sa;;;
fillel;;;
...;;;
Il;;;
a;;;
donc;;;
une;;;
fille;;;
?;;;
...;;;
He;PER;PER;PER
.H4el;PER;PER;PER
acques;;;
..;;;
Est-elle;;;
"
";;;
jolie;;;
,;;;
Mlle;PER;PER;PER
Pierrotte;PER;PER;PER
?;;;
"
";;;
-;;;
Ohl;;;
tu;;;
m';;;
en;;;
demandes;;;
trop;;;
pour;;;
une;;;
fois;;;
,;;;
mon;;;
petit;;;
Daniel;PER;PER;PER
...;;;
"
";;;
Un;;;
autre;;;
jour;;;
,;;;
je;;;
te;;;
repondrai;;;
.;;;
Maintenant;;;
,;;;
il;;;
est;;;
tard;;;
";";;;
allons;;;
nous;;;
"
";;;
coucher;;;
.;;;
"
";;;
Et;;;
pour;;;
cacher;;;
l';;;
embarras;;;
que;;;
lui;;;
causent;;;
mes;;;
questions;;;
,;;;
Jacques;PER;PER;PER
"
";;;
se;;;
met;;;
a;;;
border;;;
le;;;
lit;;;
activement;;;
,;;;
avec;;;
un;;;
soin;;;
de;;;
vieille;;;
fille;;;
.;;;
"
";;;
C';;;
est;;;
un;;;
lit;;;
de;;;
fer;;;
a;;;
une;;;
place;;;
,;;;
en;;;
tout;;;
pareil;;;
a;;;
celui;;;
dans;;;
lequel;;;
"
";;;
nous;;;
couchions;;;
tous;;;
les;;;
deux;;;
,;;;
a;;;
Lyon;LOC;LOC;LOC
,;;;
rue;LOC;LOC;LOC
Lanterne;LOC;LOC;LOC
.;;;
"
";;;
--;;;
T';PER;PER;PER
en;;;
souviens;;;
-;;;
tu;;;
,;;;
Jacques;PER;PER;PER
,;;;
de;;;
notre;;;
petit;;;
lit;;;
de;;;
la;;;
rue;;;
Lanterne;;;
,;;;
"
";;;
quand;;;
nous;;;
lisions;;;
des;;;
romans;;;
en;;;
cachette;;;
,;;;
et;;;
que;;;
MI;LOC;LOC;LOC
.;;;
Eyssette;LOC;LOC;LOC
nous;;;
"
";;;
criait;;;
du;;;
fond;;;
de;;;
son;;;
lit;;;
,;;;
avec;;;
sa;;;
plus;;;
grosse;;;
voix;;;
:;;;
eteignez;;;
vite;;;
,;;;
ou;;;
je;;;
"
";;;
me;;;
level;;;
"
";;;
Jacques;PER;PER;PER
se;;;
souvient;;;
de;;;
cela;;;
,;;;
et;;;
aussi;;;
de;;;
bien;;;
d';;;
autres;;;
choses;;;
...;;;
De;;;
"
";;;
souvenir;;;
en;;;
souvenir;;;
,;;;
minuit;;;
sonne;;;
a;;;
Saint-Germain;LOC;LOC;LOC
qu';;;
on;;;
ne;;;
songe;;;
"
";;;
pas;;;
encore;;;
a;;;
dormir;;;
.;;;
"
";;;
--;;;
Allons;PER;PER;PER
...;;;
bonne;;;
nuitl;;;
me;;;
dit;;;
acques;;;
resolument;;;
.;;;
"
";;;
Mais;;;
au;;;
bout;;;
de;;;
cinq;;;
minutes;;;
,;;;
je;;;
l';;;
entends;;;
qui;;;
pouffe;;;
de;;;
rire;;;
sous;;;
"
";;;
sa;;;
couverture;;;
.;;;
"
";;;
-;;;
De;;;
quoi;;;
ris;;;
-;;;
tu;;;
,;;;
Jacques;MISC;MISC;MISC
?;;;
...;;;
"
";;;
-;;;
Je;;;
ris;;;
de;;;
l';;;
abbe;PER;PER;PER
Micou;PER;PER;PER
,;;;
tu;;;
sais;;;
,;;;
l';;;
abbe;PER;PER;PER
Micou;PER;PER;PER
de;;;
la;;;
manecanterie;;;
..;;;
"
";;;
Te;;;
le;;;
rappelles;;;
-;;;
tu;;;
?;;;
...;;;
"
";;;
-;;;
Parbleul;;;
...;;;
"
";;;
Et;;;
nous;;;
voilh;;;
partis;;;
a;;;
rire;;;
,;;;
a;;;
rire;;;
,;;;
a;;;
bavarder;;;
,;;;
a;;;
bavarder;;;
...;;;
Cette;;;
"
";;;
fois;;;
,;;;
c';;;
est;;;
moi;;;
qui;;;
suis;;;
raisonnable;;;
et;;;
qui;;;
dis;;;
:;;;
"
";;;
--;;;
Il;;;
faut;;;
dormir;;;
.;;;
"
";;;
MIais;MISC;MISC;MISC
un;;;
moment;;;
apres;;;
,;;;
je;;;
recommence;;;
de;;;
plus;;;
belle;;;
:;;;
"
";;;
--;;;
Et;;;
Rouget;PER;PER;PER
,;;;
Jacques;PER;PER;PER
.;;;
Est;;;
-ce;;;
que;;;
tu;;;
t';;;
en;;;
souviens;;;
E;MISC;MISC;MISC
...;MISC;MISC;MISC
32;;;
"
";;;
LE;PER;PER;PER
PETIT;PER;PER;PER
CHOSE;;;
"
";;;
La;;;
-;;;
dessus;;;
,;;;
nouveaux;;;
eclats;;;
de;;;
rire;;;
et;;;
causeries;;;
a;;;
n';;;
en;;;
plus;;;
finir;;;
...;;;
"
";;;
Soudain;;;
un;;;
grand;;;
coup;;;
de;;;
poing;;;
ebranle;PER;PER;PER
la;;;
cloison;;;
de;;;
mon;;;
cote;;;
,;;;
"
";;;
du;;;
cote;;;
de;;;
la;;;
ruelle;;;
.;;;
Consternation;;;
generale;;;
.;;;
"
";;;
-;;;
C';;;
est;;;
Coucou;;;
-;;;
Blanc;;;
..;;;
me;;;
dit;;;
acques;;;
tout;;;
bas;;;
dans;;;
l';;;
oreille;;;
.;;;
"
";;;
-;;;
Coucou;;;
-;;;
Blancl;;;
...;;;
Qu';;;
est;;;
-ce;;;
que;;;
celak;;;
"
";;;
--;;;
Chutl;ORG;ORG;ORG
...;;;
pas;;;
si;;;
haut;;;
...;;;
Coucou;;;
-;;;
Blanc;;;
est;;;
notre;;;
voisine;;;
...;;;
Elle;;;
"
";;;
se;;;
plaint;;;
sans;;;
doute;;;
que;;;
nous;;;
l';;;
empechons;;;
de;;;
dormir;;;
.;;;
"
";;;
-;;;
Dis;;;
donc;;;
,;;;
Jacquesl;PER;PER;PER
quel;;;
drole;;;
de;;;
nom;;;
elle;;;
a;;;
,;;;
notre;;;
voisinel;;;
...;;;
"
";;;
Coucou;;;
-;;;
Blancl;;;
Est;;;
-ce;;;
qu';;;
elle;;;
est;;;
jeune;;;
?;;;
...;;;
"
";;;
--;;;
Tu;;;
pourras;;;
en;;;
juger;;;
toi;;;
-;;;
meme;;;
,;;;
mon;;;
cher;;;
.;;;
Un;;;
jour;;;
ou;;;
l';;;
autre;;;
,;;;
"
";;;
vous;;;
vous;;;
rencontrerez;;;
dans;;;
l';;;
escalier;;;
...;;;
Mais;;;
en;;;
attendant;;;
,;;;
dormons;;;
"
";;;
vite;;;
...;;;
sans;;;
quoi;;;
Coucou;;;
-;;;
Blanc;;;
pourrait;;;
bien;;;
se;;;
facher;;;
encore;;;
.;;;
"
";;;
La;;;
-;;;
dessus;;;
,;;;
Jacques;PER;PER;PER
souffle;;;
la;;;
bougie;;;
,;;;
et;;;
M.;PER;PER;PER
Daniel;PER;PER;PER
Eyssette;PER;PER;PER
(;;;
de;;;
"
";;;
1'Academie;;;
francaise;;;
);;;
s';;;
endort;;;
sur;;;
l';;;
epaule;;;
de;;;
son;;;
frere;;;
comme;;;
quand;;;
"
";;;
il;;;
avait;;;
dix;;;
ans;;;
.;;;
CoUCoU;;;
-;;;
BLANC;;;
ET;;;
LA;;;
DAME;;;
DU;;;
PREMIER;;;
"
";;;
Il;;;
y;;;
a;;;
,;;;
sur;;;
la;;;
place;;;
de;;;
Saint-Germain-des-Pres;LOC;LOC;LOC
,;;;
dans;;;
le;;;
coin;;;
de;;;
"
";;;
l';;;
eglise;;;
,;;;
a;;;
gauche;;;
et;;;
tout;;;
au;;;
bord;;;
des;;;
toits;;;
,;;;
une;;;
petite;;;
fenetre;;;
qui;;;
me;;;
"
";;;
serre;;;
le;;;
ceur;;;
chaque;;;
fois;;;
que;;;
je;;;
la;;;
regarde;;;
.;;;
C';;;
est;;;
la;;;
fenetre;;;
de;;;
notre;;;
"
";;;
ancienne;;;
chambre;;;
";";;;
et;;;
,;;;
encore;;;
aujourd'hui;;;
,;;;
quand;;;
je;;;
passe;;;
par;;;
la;;;
,;;;
je;;;
"
";;;
me;;;
figure;;;
que;;;
le;;;
Daniel;PER;PER;PER
d';;;
autrefois;;;
est;;;
toujours;;;
la;;;
-;;;
haut;;;
,;;;
assis;;;
a;;;
sa;;;
table;;;
"
";;;
contre;;;
la;;;
vitre;;;
,;;;
et;;;
qu';;;
il;;;
sourit;;;
de;;;
pitie;;;
en;;;
voyant;;;
dans;;;
la;;;
rue;;;
le;;;
Daniel;LOC;LOC;LOC
"
";;;
d';;;
aujourd'hui;;;
triste;;;
et;;;
deja;;;
courbe;;;
.;;;
"
";;;
Ahl;ORG;ORG;ORG
vieille;ORG;ORG;ORG
horloge;ORG;ORG;ORG
de;ORG;ORG;ORG
Saint-Germain;ORG;ORG;ORG
,;;;
que;;;
de;;;
belles;;;
heures;;;
tu;;;
"
";;;
m';;;
as;;;
sonnees;;;
quand;;;
j';;;
habitais;;;
la;;;
-;;;
haut;;;
,;;;
avec;;;
la;;;
mere;;;
Jacquesl;PER;PER;PER
...;;;
Est;LOC;LOC;LOC
-ce;;;
"
";;;
que;;;
tu;;;
ne;;;
pourrais;;;
pas;;;
m';;;
en;;;
sonner;;;
encore;;;
quelques;;;
-;;;
unes;;;
de;;;
ces;;;
"
";;;
heures;;;
de;;;
vaillance;;;
et;;;
de;;;
jeunesse;;;
';;;
etais;;;
si;;;
heureux;;;
dans;;;
ce;;;
temps;;;
-;;;
la;;;
...;;;
"
";;;
Je;;;
travaillais;;;
de;;;
si;;;
bon;;;
ceurl;;;
...;;;
"
";;;
Le;;;
matin;;;
,;;;
on;;;
se;;;
levait;;;
avec;;;
le;;;
jour;;;
,;;;
acques;;;
,;;;
tout;;;
de;;;
suite;;;
,;;;
s';;;
occupait;;;
"
";;;
du;;;
menage;;;
.;;;
Il;;;
allait;;;
chercher;;;
de;;;
l';;;
eau;;;
,;;;
balayait;;;
la;;;
chambre;;;
,;;;
rangeait;;;
"
";;;
ma;;;
table;;;
.;;;
Moi;;;
,;;;
je;;;
n';;;
avais;;;
le;;;
droit;;;
de;;;
toucher;;;
a;;;
rien;;;
.;;;
Si;;;
je;;;
lui;;;
disais;;;
:;;;
"
 ";;;
Jacques;PER;PER;PER
,;;;
veux;;;
-;;;
tu;;;
que;;;
je;;;
t';;;
aide;;;
n;;;
"
";;;
Jacques;PER;PER;PER
se;;;
mettait;;;
a;;;
rire;;;
:;;;
aTu;;;
n';;;
y;;;
songes;;;
pas;;;
,;;;
Daniel;PER;PER;PER
.;;;
Et;;;
la;;;
dame;;;
"
";;;
du;;;
premierln;;;
Avec;;;
ces;;;
deux;;;
mots;;;
gros;;;
d';;;
allsions;;;
,;;;
il;;;
me;;;
fermait;;;
la;;;
"
";;;
bouche.34;;;
"
";;;
Voici;;;
pourquoi;;;
.;;;
"
";;;
LE;PER;PER;PER
PETIT;PER;PER;PER
CHOSE;;;
"
";;;
Pendant;;;
les;;;
premiers;;;
jours;;;
de;;;
notre;;;
vie;;;
a;;;
deux;;;
,;;;
c';;;
etait;;;
moi;;;
qui;;;
etais;;;
"
";;;
charge;;;
de;;;
descendre;;;
chercher;;;
de;;;
l';;;
eau;;;
dans;;;
la;;;
cour;;;
.;;;
A;;;
une;;;
autre;;;
heure;;;
"
";;;
de;;;
la;;;
journee;;;
,;;;
je;;;
n';;;
aurais;;;
peut;;;
-;;;
etre;;;
pas;;;
osel;;;
mais;;;
le;;;
matin;;;
,;;;
toute;;;
la;;;
"
";;;
maison;;;
dormait;;;
encore;;;
,;;;
et;;;
ma;;;
vanite;;;
ne;;;
risquait;;;
pas;;;
d';;;
etre;;;
rencontree;;;
"
";;;
dans;;;
l';;;
escalier;;;
une;;;
cruche;;;
 ;;;
la;;;
main;;;
.;;;
Je;;;
descendais;;;
,;;;
en;;;
m';;;
eveillant;;;
,;;;
a;;;
"
";;;
peine;;;
vetu;;;
.;;;
A;;;
cette;;;
heure;;;
-;;;
la;;;
,;;;
la;;;
cour;;;
etait;;;
deserte;;;
.;;;
Quelquefois;;;
,;;;
un;;;
pale-;;;
"
";;;
frenier;;;
en;;;
casaque;;;
rouge;;;
nettoyait;;;
ses;;;
harnais;;;
pres;;;
de;;;
la;;;
pompe;;;
.;;;
C';;;
etait;;;
"
";;;
le;;;
cocher;;;
de;;;
la;;;
dame;;;
du;;;
premier;;;
,;;;
une;;;
jeune;;;
creole;MISC;MISC;MISC
tres;MISC;MISC;MISC
elegante;MISC;MISC;MISC
dont;;;
"
";;;
on;;;
s';;;
occupait;;;
beaucoup;;;
dans;;;
la;;;
maison;;;
.;;;
La;;;
presence;;;
de;;;
cet;;;
homme;;;
"
";;;
suffisait;;;
pour;;;
me;;;
gener;PER;PER;PER
";";;;
quand;;;
il;;;
etait;;;
la;;;
,;;;
j';;;
avais;;;
honte;;;
,;;;
je;;;
pompais;;;
vite;;;
"
";;;
et;;;
je;;;
remontais;;;
avec;;;
ma;;;
cruche;;;
a;;;
moitie;;;
remplie;;;
.;;;
Une;;;
fois;;;
en;;;
haut;;;
,;;;
je;;;
"
";;;
me;;;
trouvais;;;
tres;;;
ridicule;;;
,;;;
ce;;;
qui;;;
ne;;;
m';;;
empechait;;;
pas;;;
d';;;
etre;;;
aussi;;;
gene;;;
"
";;;
le;;;
lendemain;;;
,;;;
si;;;
j';;;
apercevais;;;
la;;;
casaque;;;
rouge;;;
dans;;;
la;;;
cour;;;
...;;;
Or;;;
,;;;
un;;;
"
";;;
matin;;;
que;;;
j';;;
avais;;;
eu;;;
la;;;
chance;;;
d';;;
eviter;;;
cette;;;
formidable;;;
casaque;;;
,;;;
je;;;
"
";;;
remontais;;;
allegrement;;;
et;;;
ma;;;
cruche;;;
toute;;;
pleine;;;
,;;;
lorsque;;;
,;;;
a;;;
la;;;
hauteur;;;
"
";;;
de;;;
premier;;;
etage;;;
,;;;
je;;;
me;;;
trouvai;;;
face;;;
 ;;;
face;;;
avec;;;
une;;;
dame;;;
qui;;;
des-;;;
"
";;;
cendait;;;
.;;;
C';;;
etait;;;
la;;;
dame;;;
du;;;
premier;;;
...;;;
"
";;;
Droite;ORG;ORG;ORG
et;;;
fiere;;;
,;;;
les;;;
yeux;;;
baisses;;;
sur;;;
un;;;
livre;;;
,;;;
elle;;;
allait;;;
lentement;;;
"
";;;
dans;;;
un;;;
flot;;;
d';;;
etoffes;;;
soyeuses;;;
.;;;
hA;;;
premiere;;;
vue;;;
,;;;
elle;;;
me;;;
parut;;;
belle;;;
,;;;
"
";;;
quoique;;;
un;;;
peu;;;
pale;;;
";";;;
ce;;;
qui;;;
me;;;
resta;;;
d';;;
elle;;;
,;;;
surtout;;;
,;;;
c';;;
est;;;
une;;;
petite;;;
"
";;;
cicatrice;;;
blanche;;;
qu';;;
elle;;;
avait;;;
dans;;;
un;;;
coin;;;
,;;;
au;;;
-;;;
dessous;;;
de;;;
la;;;
levre;LOC;LOC;LOC
.;;;
"
";;;
En;;;
passant;;;
devant;;;
moi;;;
,;;;
la;;;
dame;;;
leva;;;
les;;;
yeux;;;
.;;;
';;;
tais;;;
debout;;;
contre;;;
le;;;
"
";;;
mur;;;
,;;;
ma;;;
cruche;;;
a;;;
la;;;
main;;;
,;;;
tout;;;
rouge;;;
et;;;
tout;;;
honteux;;;
.;;;
Pensezl;;;
';;;
etre;;;
"
";;;
surpris;;;
ainsi;;;
comme;;;
un;;;
porteur;;;
d';;;
eau;;;
,;;;
mal;;;
peigne;;;
,;;;
ruisselant;;;
,;;;
le;;;
cou;;;
"
";;;
nu;;;
,;;;
la;;;
chemise;;;
entr'ouverte;;;
..;;;
quelle;;;
humiliationl;PER;PER;PER
';;;
aurais;;;
voulu;;;
entrer;;;
"
";;;
dans;;;
la;;;
muraille;;;
...;;;
La;;;
dame;;;
me;;;
regarda;;;
un;;;
moment;;;
bien;;;
en;;;
face;;;
d';;;
un;;;
"
";;;
air;;;
de;;;
reine;;;
indulgente;;;
,;;;
avec;;;
un;;;
petit;;;
sourire;;;
,;;;
puis;;;
elle;;;
passa;;;
...;;;
Quand;;;
je;;;
"
";;;
remontai;;;
,;;;
j';;;
etais;;;
furieux;;;
.;;;
e;;;
racontai;;;
mon;;;
aventure;;;
a;;;
Jacques;PER;PER;PER
,;;;
qui;;;
se;;;
"
";;;
moqua;;;
beaucoup;;;
de;;;
ma;;;
vanite;;;
";";;;
mais;;;
le;;;
lendemain;;;
,;;;
il;;;
prit;;;
la;;;
cruche;;;
"
";;;
sans;;;
rien;;;
dire;;;
et;;;
descendit;;;
.;;;
Depuis;;;
lors;;;
,;;;
il;;;
descendit;;;
ainsi;;;
tous;;;
les;;;
"
";;;
matins;;;
";";;;
et;;;
moi;;;
,;;;
malgre;;;
mes;;;
remords;;;
,;;;
je;;;
le;;;
laissais;;;
faire;;;
:;;;
j';;;
avais;;;
trop;;;
"
";;;
peur;;;
de;;;
rencontrer;;;
encore;;;
la;;;
dame;;;
du;;;
premier;;;
.;;;
"
";;;
Le;;;
menage;;;
fini;;;
,;;;
Jacques;PER;PER;PER
s';;;
en;;;
allait;;;
chez;;;
son;;;
marquis;;;
,;;;
et;;;
je;;;
ne;;;
le;;;
"
";;;
revoyais;;;
plus;;;
que;;;
dans;;;
la;;;
soiree;;;
.;;;
Je;;;
passais;;;
mes;;;
journees;;;
tout;;;
seul;;;
,;;;
"
";;;
en;;;
tete;;;
a;;;
tete;;;
avec;;;
la;;;
MIuse;MISC;MISC;MISC
ou;;;
ce;;;
que;;;
j';;;
appelais;;;
la;;;
Mluse;MISC;MISC;MISC
.;;;
Du;;;
matin;;;
au;;;
"
";;;
soir;;;
,;;;
la;;;
fenetre;;;
restait;;;
ouverte;;;
avec;;;
ma;;;
table;;;
devant;;;
,;;;
et;;;
sur;;;
cet;;;
etabli;;;
,;;;
"
";;;
du;;;
matin;;;
au;;;
soir;;;
j';;;
enfilais;;;
des;;;
rimes;;;
.;;;
De;;;
temps;;;
en;;;
temps;;;
un;;;
pierrotCOUCOU;;;
-;;;
BLANC;;;
ET;;;
LA;;;
DAME;;;
DU;;;
PREMIER;;;
"
";;;
35;;;
"
";;;
venait;;;
boire;;;
a;;;
ma;;;
gouttiere;;;
il;;;
me;;;
regardait;;;
un;;;
moment;;;
d';;;
un;;;
air;;;
effronte;;;
,;;;
"
";;;
puis;;;
il;;;
allait;;;
dire;;;
aux;;;
autres;;;
ce;;;
que;;;
je;;;
faisais;;;
,;;;
et;;;
j';;;
entendais;;;
le;;;
bruit;;;
sec;;;
"
";;;
de;;;
leurs;;;
petites;;;
pattes;;;
sur;;;
les;;;
ardoises;;;
...;;;
J';;;
avais;;;
aussi;;;
les;;;
cloches;;;
de;;;
"
";;;
Saint-Germain;LOC;LOC;LOC
qui;;;
me;;;
rendaient;;;
visite;;;
plusieurs;;;
fois;;;
dans;;;
le;;;
jour;;;
.;;;
"
";;;
';;;
aimais;;;
bien;;;
quand;;;
elles;;;
venaient;;;
me;;;
voir;;;
.;;;
Elles;;;
entraient;;;
bruyam-;;;
"
";;;
ment;;;
par;;;
la;;;
fenetre;;;
et;;;
remplissaient;;;
la;;;
chambre;;;
de;;;
musique;;;
.;;;
Tantot;;;
"
";;;
des;;;
carillons;;;
joyeux;;;
et;;;
fous;;;
precipitaient;;;
leurs;;;
doubles-croches;;;
,;;;
tantot;;;
"
";;;
des;;;
glas;;;
noirs;;;
,;;;
lugubres;;;
,;;;
dont;;;
les;;;
notes;;;
tombaient;;;
une;;;
a;;;
une;;;
comme;;;
"
";;;
des;;;
larmes;;;
.;;;
Puis;;;
j';;;
avais;;;
les;;;
Angelus;MISC;MISC;MISC
:;;;
1'Angelus;;;
de;;;
midi;;;
,;;;
un;;;
archange;;;
"
";;;
aux;;;
habits;;;
de;;;
soleil;;;
qui;;;
entrait;;;
chez;;;
moi;;;
tout;;;
resplendissant;;;
de;;;
lumiere;PER;PER;PER
";";;;
"
";;;
1'Angelus;;;
du;;;
soir;;;
,;;;
un;;;
seraphin;;;
melancolique;;;
qui;;;
descendait;;;
dans;;;
un;;;
"
";;;
rayon;;;
de;;;
lune;;;
et;;;
faisait;;;
toute;;;
la;;;
chambre;;;
humide;;;
en;;;
y;;;
secouant;;;
ses;;;
"
";;;
grandes;;;
ailes;;;
...;;;
"
";;;
La;;;
muse;;;
,;;;
les;;;
pierrots;;;
,;;;
les;;;
cloches;;;
,;;;
je;;;
ne;;;
recevais;;;
jamais;;;
d';;;
autres;;;
"
";;;
visites;;;
.;;;
Qui;;;
serait;;;
venu;;;
me;;;
voir;;;
?;;;
Personne;;;
ne;;;
me;;;
connaissait;;;
.;;;
A;;;
la;;;
"
";;;
cremerie;;;
de;;;
la;;;
rue;LOC;LOC;LOC
Saint-Benoit;LOC;LOC;LOC
,;;;
j';;;
avais;;;
toujours;;;
soin;;;
de;;;
me;;;
mettre;;;
a;;;
"
";;;
une;;;
petite;;;
table;;;
a;;;
part;;;
de;;;
tout;;;
le;;;
monde;;;
";";;;
je;;;
mangeais;;;
vite;;;
,;;;
les;;;
yeux;;;
dans;;;
"
";;;
mon;;;
assiette;;;
";";;;
puis;;;
,;;;
le;;;
repas;;;
fini;;;
,;;;
je;;;
prenais;;;
mon;;;
chapeau;;;
furtivement;;;
"
";;;
et;;;
je;;;
rentrais;;;
a;;;
toutes;;;
jambes;;;
.;;;
Jamais;;;
une;;;
distraction;;;
,;;;
jamais;;;
une;;;
pro-;;;
"
";;;
menade;;;
";";;;
pas;;;
meme;;;
la;;;
musique;;;
au;;;
Luxembourg;LOC;LOC;LOC
.;;;
Cette;;;
timidite;;;
maladive;;;
"
";;;
que;;;
je;;;
tenais;;;
de;;;
M9;MISC;MISC;MISC
Eyssette;MISC;MISC;MISC
etait;;;
encore;;;
augmentee;;;
par;;;
le;;;
delabrement;;;
"
";;;
de;;;
mon;;;
costume;;;
et;;;
ces;;;
malheureux;;;
caoutchoucs;;;
qu';;;
on;;;
n';;;
avait;;;
pas;;;
pu;;;
"
";;;
remplacer;;;
.;;;
La;;;
rue;;;
me;;;
faisait;;;
peur;;;
,;;;
me;;;
rendait;;;
honteux;;;
.;;;
Je;;;
n';;;
aurais;;;
"
";;;
jamais;;;
voulu;;;
descendre;;;
de;;;
mon;;;
clocher;;;
.;;;
Quelquefois;;;
pourtant;;;
,;;;
par;;;
ces;;;
"
";;;
jolis;;;
soirs;;;
mouilles;;;
des;;;
printemps;;;
parisiens;;;
,;;;
je;;;
rencontrais;;;
,;;;
en;;;
revenant;;;
"
";;;
de;;;
la;;;
cremerie;LOC;LOC;LOC
,;;;
des;;;
volees;;;
d';;;
etudiants;;;
en;;;
belle;;;
humeur;;;
,;;;
et;;;
de;;;
les;;;
voir;;;
"
";;;
s';;;
en;;;
aller;;;
ainsi;;;
bras;;;
dessus;;;
,;;;
bras;;;
dessous;;;
,;;;
avec;;;
leurs;;;
grands;;;
chapeaux;;;
,;;;
"
";;;
leurs;;;
pipes;;;
,;;;
leurs;;;
maitresses;;;
,;;;
cela;;;
me;;;
donnait;;;
des;;;
idees;;;
...;;;
Alors;;;
je;;;
"
";;;
remontais;;;
bien;;;
vite;;;
mes;;;
cinq;;;
etages;;;
,;;;
j';;;
allumais;;;
ma;;;
bougie;;;
,;;;
et;;;
je;;;
me;;;
"
";;;
mettais;;;
au;;;
travail;;;
rageusement;;;
jusqu;;;
';;;
l';;;
arrivee;;;
de;;;
acques;;;
.;;;
"
";;;
Quand;;;
Jacques;PER;PER;PER
arrivait;;;
,;;;
la;;;
chambre;;;
changeait;;;
d';;;
aspect;;;
.;;;
Elle;;;
etait;;;
"
";;;
toute;;;
gaiete;;;
,;;;
bruit;;;
,;;;
mouvement;;;
.;;;
On;;;
chantait;;;
,;;;
on;;;
riait;;;
,;;;
on;;;
se;;;
demandait;;;
"
";;;
des;;;
nouvelles;;;
de;;;
la;;;
journee;;;
.;;;
 ;;;
As;;;
-;;;
tu;;;
bien;;;
travaille;;;
?;;;
me;;;
disait;;;
Jacques;PER;PER;PER
,;;;
"
";;;
ton;;;
poeme;;;
avance;;;
-t;;;
-il;;;
?;;;
 ;;;
Puis;;;
il;;;
me;;;
racontait;;;
quelque;;;
nouvelle;;;
invention;;;
"
";;;
de;;;
son;;;
original;;;
marquis;;;
,;;;
tirait;;;
de;;;
sa;;;
poche;;;
des;;;
friandises;;;
du;;;
dessert;;;
"
";;;
mises;;;
de;;;
cote;;;
pour;;;
moi;;;
,;;;
et;;;
s';;;
amusait;;;
a;;;
me;;;
les;;;
voir;;;
croquer;;;
a;;;
belles;;;
"
";;;
dents;;;
.;;;
Apres;;;
quoi;;;
,;;;
je;;;
retournais;;;
a;;;
l';;;
etabli;;;
aux;;;
rimes;;;
.;;;
Jacques;PER;PER;PER
faisait;;;
"
";;;
deux;;;
ou;;;
trois;;;
tours;;;
dans;;;
la;;;
chambre;;;
,;;;
et;;;
,;;;
quand;;;
il;;;
me;;;
croyait;;;
bien;;;
ena6;MISC;MISC;MISC
"
";;;
LE;;;
PETIT;;;
CHOSE;;;
"
";;;
train;;;
,;;;
s';;;
esquivait;;;
en;;;
me;;;
disant;;;
:;;;
Puisque;;;
tu;;;
travailles;;;
,;;;
je;;;
vais;;;
l;;;
-;;;
bas;;;
"
";;;
passer;;;
un;;;
moment;;;
.;;;
Ld;LOC;LOC;LOC
-;LOC;LOC;LOC
bas;LOC;LOC;LOC
,;;;
cela;;;
voulait;;;
dire;;;
chez;;;
Pierrotte;LOC;LOC;LOC
";";;;
et;;;
si;;;
vous;;;
"
";;;
n';;;
avez;;;
pas;;;
deja;;;
devine;;;
pourquoi;;;
Jacques;PER;PER;PER
allait;;;
si;;;
souvent;;;
la;;;
-;;;
bas;;;
,;;;
c';;;
est;;;
"
";;;
que;;;
vous;;;
n';;;
etes;;;
pas;;;
bien;;;
habile;;;
.;;;
Moi;;;
,;;;
je;;;
compris;;;
tout;;;
,;;;
des;;;
le;;;
premier;;;
"
";;;
jour;;;
,;;;
rien;;;
qu;;;
';;;
le;;;
voir;;;
lisser;;;
ses;;;
cheveux;;;
devant;;;
la;;;
glace;;;
avant;;;
de;;;
partir;;;
,;;;
"
";;;
et;;;
recommencer;;;
trois;;;
ou;;;
quatre;;;
fois;;;
son;;;
neud;;;
de;;;
cravate;;;
";";;;
mais;;;
pour;;;
"
";;;
ne;;;
pas;;;
le;;;
gener;PER;PER;PER
,;;;
je;;;
faisais;;;
semblant;;;
de;;;
ne;;;
me;;;
douter;;;
de;;;
rien;;;
,;;;
et;;;
je;;;
me;;;
"
";;;
contentais;;;
de;;;
rire;;;
au;;;
dedans;;;
de;;;
moi;;;
,;;;
en;;;
pensant;;;
des;;;
choses;;;
...;;;
"
";;;
acques;;;
parti;;;
,;;;
en;;;
avant;;;
les;;;
rimesl;;;
A;LOC;LOC;LOC
cette;;;
heure;;;
-;;;
la;;;
,;;;
je;;;
n';;;
avais;;;
plus;;;
"
";;;
le;;;
moindre;;;
bruit;;;
";";;;
les;;;
pierrots;;;
,;;;
les;;;
Angelus;MISC;MISC;MISC
,;;;
tous;;;
mes;;;
amis;;;
etaient;;;
"
";;;
couches;;;
.;;;
Complet;;;
tete;;;
-;;;
a;;;
-;;;
tete;;;
avec;;;
la;;;
Muse;ORG;ORG;ORG
...;;;
Vers;;;
neuf;;;
heures;;;
,;;;
j';;;
enten-;;;
"
";;;
dais;;;
monter;;;
dans;;;
l';;;
escalier;;;
,;;;
-;;;
un;;;
petit;;;
